Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
FORM BAR/MARS SNKF US/SNICKERS MARATHON MULTIGRNCRUNCH,2.0,33.04,14.67,3.0
GENERAL MILLS/COCOA PUFFS BROWNIE CRUNCH,1.0,32.79,16.7,0.0
FRSTD OAT CRL W/MARSHMALLOWS,1.0,43.5,15.87,0.0
KELLOGG/KELLOGG'S LOFAT GRANOLA WO/ RAISINS,1.0,28.3,3.7,0.0
GRANOLA BAR/KASHI TLC BAR/CHEWY/MXD FLAVORS,2.0,17.14,3.39,0.0
POST/FRUITY PEBBLES,1.0,34.4,6.7,0.0
ICE CREAMS/VANILLA,3.0,21.22,0.09,44.0
MALT-O-MEAL/CRISPY RICE,1.0,9.0,35.09,0.0
CANDIES/NESTLE/OH HENRY! BAR,3.0,46.2,0.5,7.0
PUDDINGS/TAPIOCA/RTE/FAT FREE,3.0,14.18,0.11,1.0
CANDIES/HERSHEY'S MILK CHOC W/ ALMOND BITES,3.0,44.59,1.5,19.0
FRITOLAY/SUNCHIPS/MULTIGRAIN/FRENCH ONION FLAVOR,2.0,8.82,1.55,0.0
BANANA CHIPS,2.0,35.34,1.25,0.0
KASHI GO LN CRUNCH!/HONEY ALMOND FLAX,1.0,22.1,2.8,0.0
CANDIES/MARS SNACKFOOD US/SNICKERS ALMOND BAR,3.0,53.93,0.85,13.0
FARINA/ENR/CKD W/ H2O/WO/ SALT,1.0,0.76,5.33,0.0
POST/SHREDDED WHEAT/ORIGINAL SPOON-SIZE,1.0,0.9,2.5,0.0
MALT-O-MEAL/APPL ZINGS,1.0,47.18,30.42,0.0
KASHI ORGANIC PROMISE/CINN HARVEST,1.0,16.5,2.8,0.0
ICE CREAMS/CHOC,3.0,25.36,0.93,34.0
TORTILLA CHIPS/PLN/WHITE CORN/SALTED,2.0,0.8,1.56,0.0
CANDIES/REESE'S PNUT BUTTER CUPS,3.0,47.17,1.21,6.0
POST/COCOA PEBBLES,1.0,35.8,6.2,0.0
WHL WHEAT HOT NAT CRL/CKD W/ H2O/W/ SALT,1.0,0.08,0.62,0.0
KELLOGG'S POPS MIXIT CRL/ALL FLAVORS,1.0,38.78,15.42,0.0
ICE CREAMS/BREYERS/ALL NAT LT VANILLA CHOC STRAWBERRY,3.0,22.47,0.31,14.0
GENERAL MILLS/TRIX,1.0,32.0,14.1,0.0
KASHI GRANOLA/MOUNTAIN MEDLEY CRL,1.0,17.6,2.7,0.0
SYRUPS/CORN/HIGH-FRUCTOSE,3.0,75.65,0.03,0.0
SYRUPS/CHOC/HERSHEY'S GENUINE CHOC FLAV LITE SYRUP,3.0,28.57,0.0,0.0
DESSERTS/PUDD/CHOC/DRY MIX/REG,3.0,42.88,1.82,0.0
KELLOGG'S FRSTD MINI-WHEATS/BITE SZE & LTL BITES,1.0,20.25,29.75,0.0
KELLOGG'S/NUTRI-GRAIN CRL BARS/FRUIT,2.0,30.84,4.9,1.0
SUN COUNTRY/KRETSCHMER HONEY CRUNCH WHEAT GERM,1.0,24.85,8.05,0.0
KELLOGG/KELLOGG'S PRODUCT 19,1.0,12.5,60.0,0.0
CORN CAKES,2.0,23.47,1.4,0.0
POST/HONEY BUNCHES OF OATS/JUST BUNCHES/HNY RSTD,1.0,23.3,14.2,0.0
