Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
PUDDINGS/VANILLA/DRY MIX/INST/PREP W/ WHL MILK,3.0,18.03,0.07,11.0
CANDIES/MARS SNACKFOOD US/POP SNICKERS BITE SIZE CANDIES,3.0,51.69,0.72,13.0
SNACKS/NUTRI-GRAIN FRUIT & NUT BAR,2.0,32.45,5.65,0.0
CEREALS RTE/GENERAL MILLS/25% LESS SUGAR TRIX,1.0,23.9,17.1,0.0
CEREALS RTE/GENERAL MILLS/HONEY NUT CHEX,1.0,28.13,14.06,0.0
DESSERTS/EGG CUSTARD/BKD/PREPARED-FROM-RECIPE,3.0,11.0,0.35,84.0
POPCORN/OIL-POPPED/LOFAT,2.0,0.65,2.87,0.0
CEREALS/QUAKER/INST OATMEAL ORGANIC/REG,1.0,1.0,4.2,0.0
CEREALS RTE/MALT-O-MEAL/BERRY COLOSSAL CRUNCH,1.0,43.86,30.0,0.0
DESSERTS/PUDD/COCNT CRM/DRY MIX/INST,3.0,64.0,0.72,0.0
POTATO CHIPS/PLN/UNSALTED,2.0,0.22,1.63,0.0
POTATO CHIPS/WO/SALT/RED FAT,2.0,0.22,1.35,0.0
CEREALS RTE/GENERAL MILLS/OAT CLUSTER CHEERIOS CRUNCH,1.0,27.9,16.7,0.0
CANDIES/MILK CHOC,3.0,51.5,2.35,23.0
CEREALS/OATS/INST/FORT/W/ RAISINS & SPICE/PREP W/ H2O,1.0,8.71,2.21,0.0
CANDIES/HERSHEY/KIT KAT BIG KAT BAR,3.0,53.96,0.84,9.0
CEREALS RTE/KELLOGG/KELLOGG'S FROOT LOOPS,1.0,41.7,15.5,0.0
CEREALS RTE/KELLOGG'S FRSTD MINI-WHEATS BITE SZ BLUEB MUFFIN,1.0,22.7,29.5,0.0
CANDIES/SYMPHONY MILK CHOC BAR,3.0,53.96,0.91,24.0
CANDIES/TWIZZLERS STRAWBERRY TWISTS CANDY,3.0,39.64,0.51,0.0
CEREALS RTE/MARSHMLLW ALPHA-BITS,1.0,35.7,9.31,0.0
CEREALS RTE/MALT-O-MEAL/MARSHMLLW MATEYS,1.0,42.8,19.3,1.0
CEREALS RTE/QUAKER/QUAKER HONEY GRAHAM LIFE CRL,1.0,23.12,29.73,0.0
CEREALS RTE/BEAR NAKED BANANA NUT,1.0,21.7,2.5,0.0
PIE FILLINGS/BLUEBERRY/CND,3.0,37.75,0.8,0.0
CEREALS/QUAKER/INST OATMEAL EXPRESS/BKD APPL/DRY,1.0,31.48,7.33,8.0
CEREALS RTE/POST/GREAT GRAINS/RAISIN/DATE & PECAN,1.0,24.1,16.4,0.0
CEREALS RTE/GENERAL MILLS/COCOA PUFFS,1.0,37.2,16.7,0.0
GRANOLA BARS/SOFT/COATD/MILK CHOC COATING/PNUT BUTTER,2.0,23.74,1.45,12.0
CANDIES/NESTLE/AFTER EIGHT MINTS,3.0,66.6,0.57,0.0
POPCORN/CHEESE-FLAVOR,2.0,0.79,2.24,11.0
CEREALS RTE/KELLOGG'S FRSTD FLAKES/CHOCO ZUCARITAS,1.0,38.1,15.0,0.0
CEREALS/CRM OF RICE/CKD W/H2O/WO/SALT,1.0,0.04,3.96,0.0
CEREALS RTE/KELLOGG/KELLOGG'S CORN FLAKES,1.0,9.5,28.9,0.0
CEREALS RTE/KASHI GOLEAN CRUNCH!,1.0,24.0,3.3,0.0
CANDIES/GUM DROPS/DIETETIC OR LO CAL (SORBITOL),3.0,70.0,0.0,0.0
CEREALS RTE/MALT-O-MEAL/COLOSSAL CRUNCH,1.0,42.09,30.0,0.0
CEREALS RTE/ALPEN,1.0,20.0,3.0,0.0
CEREALS/QUAKER/INST GRITS PRODUCT W/ HAM 'N' CHS/DRY,1.0,3.57,28.93,1.0
Snack/gran bar/GENERAL MILLS/ NATURE VALLEY/ w yogu coati,2.0,40.0,1.03,0.0
BAKING CHOC/MARS SNACKFOOD US/M&M'S MILK CHOC MINI BAK BITS,3.0,62.54,1.23,15.0
